station_name,lat,lon,network,call_id
TWENTY NINE PALMS,34.300,-116.167,USAF,690150
IND SPRNG RANGE 63,36.533,-115.567,USAF,690170
ABILENE DYESS AFB,32.433,-99.850,USAF,690190
LZ BULL / EXERCISE,33.067,-115.067,USAF,690584
FORT BRAGG / TEST,35.150,-78.900,USAF,691324
SPEED BAG AIRFIELD,33.267,-115.417,USAF,691414
FAIRCHILD AFB / EXERCISE,47.617,-117.667,USAF,691484
LADD AAF,64.833,-147.600,USAF,691774
CAMP BLANDING,29.967,-81.983,USAF,691804
CREECH AFB TMOS-P,36.583,-115.667,USAF,692584
MUSCATATUCK TRNG CTR,39.050,-85.617,USAF,692644
FOB MIAMI NTC/EXERCI,35.283,-116.350,USAF,692694
YUKON TEST AREA,64.721,-146.529,USAF,694604
RED PASS LAKE / NTC,35.267,-116.367,USAF,695414
AUX 2 / EXERCISE,32.533,-114.517,USAF,696454
TACTS AIRFIELD / EXERCISE,32.500,-114.150,USAF,696464
STOVAL AIRFIELD / EXERCISE,32.733,-113.633,USAF,697564
METMFR 29 PALMS,34.300,-116.150,USAF,698114
YUMA MCAS,32.650,-114.617,USAF,699604
PORTAGE GLACIER,60.785,-148.839,USAF,700001
SELAWIK,66.600,-159.986,USAF,700197
W POST-WILL ROGERS MEMORIAL AIRPORT,71.283,-156.782,USAF,700260
WAINWRIGHT AIRPORT,70.639,-159.995,USAF,700300
ATKA AIRPORT,52.220,-174.206,USAF,700631
BUCKLAND AIRPORT,65.983,-161.133,USAF,700632
UGNU-KUPRAUK AIRPORT,70.331,-149.598,USAF,700634
GALBRAITH LAKE AIRPORT,68.479,-149.490,USAF,700635
DEADHORSE AIRPORT,70.192,-148.477,USAF,700637
FALSE PASS,54.850,-163.417,USAF,700638
CAPE LISBURNE LRRS AIRPORT,68.867,-166.133,USAF,701040
POINT HOPE AIRPORT,68.350,-166.800,USAF,701043
RED DOG AIRPORT,68.031,-162.903,USAF,701045
CENTRAL AIRPORT,65.567,-144.765,USAF,701046
TIN CITY LRRS AIRPORT,65.563,-167.921,USAF,701170
BOB BARKER MEMORIAL AIRPORT,66.983,-160.433,USAF,701196
BOB BAKER MEM,66.976,-160.437,USAF,701196
POINT LAY LRRS AIRPORT,69.733,-163.005,USAF,701210
RALPH WIEN MEMORIAL AIRPORT,66.867,-162.633,USAF,701330
DEERING AIRPORT,66.069,-162.764,USAF,701333
NOATAK AIRPORT,67.566,-162.975,USAF,701335
WALES AIRPORT,65.617,-168.100,USAF,701337
CHEVAK AIRPORT,61.533,-165.583,USAF,701338
UMIAT,69.367,-152.133,USAF,701620
ANAKTUVUK PASS AIRPORT,68.167,-151.767,USAF,701625
AMBLER AIRPORT,67.100,-157.850,USAF,701718
SHUNGNAK AIRPORT,66.888,-157.162,USAF,701719
SHUNGNAK,66.888,-157.162,USAF,701719
INDIAN MOUNTAIN LRRS ARPT,66.000,-153.700,USAF,701730
BETTLES AIRPORT,66.917,-151.515,USAF,701740
CHANDALAR LAKE AIRPORT,67.511,-148.493,USAF,701745
PROSPECT CREEK AIRPORT,66.817,-150.650,USAF,701748
RALPH M CALHOUN MEML ARPT,65.175,-152.107,USAF,701780
MANLEY HOT SPRINGS,64.999,-150.638,USAF,701793
FORT YUKON AIRPORT,66.567,-145.267,USAF,701940
ARCTIC VILLAGE AIRPORT,68.115,-145.579,USAF,701945
EAGLE AIRPORT,64.777,-141.148,USAF,701975
NOME AIRPORT,64.511,-165.440,USAF,702000
ST MARY'S AIRPORT,62.062,-163.300,USAF,702005
KALTAG AIRPORT,64.327,-158.742,USAF,702006
SAVOONGA AIRPORT,63.687,-170.493,USAF,702035
ANVIK AIRPORT,62.650,-160.183,USAF,702075
EMMONAK,62.785,-164.491,USAF,702084
CAPE ROMANZOF LRRS ARPT,61.783,-166.033,USAF,702120
MEKORYUK AIRPORT,60.383,-166.200,USAF,702185
HOOPER BAY AIRPORT,61.524,-166.147,USAF,702186
BETHEL AIRPORT,60.785,-161.829,USAF,702190
GALENA AIRPORT,64.737,-156.934,USAF,702220
MC GRATH AIRPORT,62.957,-155.610,USAF,702310
FAREWELL LAKE SEAPLANE BASE,62.543,-153.623,USAF,702312
TATALINA LRRS AIRPORT,62.894,-155.976,USAF,702315
ANIAK AIRPORT,61.582,-159.543,USAF,702320
WASILLA AIRPORT,61.572,-149.541,USAF,702325
SPARREVOHN LRRS AIRPORT,61.100,-155.583,USAF,702350
MINCHUMINA,63.886,-152.302,USAF,702460
PUNTILLA LAKE,62.091,-152.735,USAF,702490
HAYES RIVER AIRPORT,61.983,-152.083,USAF,702495
TALKEETNA AIRPORT,62.320,-150.095,USAF,702510
SKWENTNA AIRPORT,61.977,-151.217,USAF,702550
KENAI MUNICIPAL AIRPORT,60.580,-151.239,USAF,702590
SOLDOTNA AIRPORT,60.476,-151.034,USAF,702595
NENANA MUNICIPAL AIRPORT,64.550,-149.072,USAF,702600
CHULITNA,62.826,-149.907,USAF,702606
HOONAH SEAPLANE BASE,58.096,-135.409,USAF,702607
FAIRBANKS INTERNATIONAL,64.804,-147.876,USAF,702610
WAINWRIGHT AAF AIRPORT,64.838,-147.614,USAF,702615
NIKOLAI,63.020,-154.360,USAF,702625
PILOT POINT,57.580,-157.580,USAF,702626
RUBY  AIRPORT,64.727,-155.470,USAF,702627
MARSHALL DON HUNTER SR,61.864,-162.026,USAF,702628
MCKINLEY NATIONAL PARK AIRPORT,63.733,-148.917,USAF,702645
HEALY RIVER AIRPORT,63.866,-148.969,USAF,702647
CANTWELL AIRPORT,63.391,-148.956,USAF,702648
EIELSON AFB AIRPORT,64.683,-147.083,USAF,702650
ALLEN ARMY AIRFIELD,63.994,-145.721,USAF,702670
ATQASUK EDWARD BURNELL SR. MEMORIAL AIRPORT,70.467,-157.436,USAF,702685
AKIAK,60.903,-161.231,USAF,702686
JONESVILLE MINE AIRPORT,61.714,-148.909,USAF,702695
NEW STUYAHOK,59.450,-157.330,USAF,702697
FT. RICHARDSON/BRYANT AHP  AK,61.267,-149.650,USAF,702700
GULKANA AIRPORT,62.159,-145.459,USAF,702710
SHEEP MOUNTAIN AIRPORT,61.812,-147.507,USAF,702711
SKELTON AIRPORT,61.949,-147.169,USAF,702715
SELAWIK,66.600,-159.986,USAF,702717
ELMENDORF AFB AIRPORT,61.253,-149.794,USAF,702720
LAKE HOOD SEAPLANE BASE,61.178,-149.966,USAF,702725
TED STEVENS ANCHORAGE INTL,61.169,-150.028,USAF,702730
MERRILL FIELD AIRPORT,61.217,-149.855,USAF,702735
PALMER MUNICIPAL AIRPORT,61.596,-149.092,USAF,702740
WILLOW AIRPORT,61.748,-150.054,USAF,702745
BIRCHWOOD AIRPORT,61.416,-149.507,USAF,702746
MCCARTHY AIRPORT,61.437,-142.904,USAF,702755
VALDEZ PIONEER FIELD AIRPORT,61.132,-146.244,USAF,702756
WHITTIER AIRPORT,60.783,-148.733,USAF,702757
ALPINE AIRSTRIP,70.344,-150.945,USAF,702758
SEWARD AIRPORT,60.128,-149.417,USAF,702770
NORTHWAY AIRPORT,62.962,-141.938,USAF,702910
DEVILS MOUNTAIN LODGE AIRPORT,62.402,-142.995,USAF,702913
DUFFY'S TAVERN AIRPORT,62.709,-143.981,USAF,702915
M.K.(MUDHOLE) SMITH ARPT,60.489,-145.451,USAF,702960
BIG RIVER LAKE,60.814,-152.297,USAF,702986
CAPE HEWENHAM LRRS AIRPORT,58.650,-162.067,USAF,703050
HOLY CROSS AIRPORT,62.183,-159.767,USAF,703051
KALSKAG AIRPORT,61.536,-160.341,USAF,703052
RUSSIAN MISSION AIRPORT,61.775,-161.319,USAF,703053
SCAMMON BAY,61.845,-165.571,USAF,703054
MANOKOTAK,58.990,-159.050,USAF,703055
MOUNTAIN VILLAGE AIRPORT,62.095,-163.682,USAF,703056
TOKSOOK BAY AIRPORT,60.541,-165.087,USAF,703057
KING COVE,55.170,-162.270,USAF,703059
IGIUGIG AIRPORT,59.324,-155.902,USAF,703061
ST PAUL ISLAND AIRPORT,57.155,-170.222,USAF,703080
COLD BAY AIRPORT,55.221,-162.733,USAF,703160
SAND POINT AIRPORT,55.319,-160.521,USAF,703165
DILLINGHAM AIRPORT,59.050,-158.517,USAF,703210
KING SALMON AIRPORT,58.683,-156.656,USAF,703260
PORT HEIDEN AIRPORT,56.959,-158.632,USAF,703330
CHIGNIK AIRPORT,56.311,-158.373,USAF,703333
EGEGIK AIRPORT,58.185,-157.386,USAF,703334
SOUTH NAKNEK ARPT,58.700,-157.000,USAF,703335
ILIAMNA AIRPORT,59.749,-154.909,USAF,703400
PORT ALSWORTH AIRPORT,60.204,-154.316,USAF,703406
SLEETMUTE AIRPORT,61.717,-157.150,USAF,703407
HOMER AIRPORT,59.642,-151.491,USAF,703410
KODIAK AIRPORT,57.751,-152.486,USAF,703500
